n,k,t,lambda,mu,lib_id,members,source_method
28,12,6,4,6,1,10 12 13 14 15 17 20 22 23 24 25 27,exhaustive
28,12,6,4,6,1,10 12 13 15 18 20 21 22 23 24 25 27,exhaustive
28,12,6,4,6,1,10 13 14 16 17 18 19 20 21 23 24 27,exhaustive
28,12,6,4,6,1,12 14 15 17 18 20 21 23 24 26 27 28,exhaustive
28,12,6,4,6,1,12 14 15 17 20 22 23 24 25 26 27 28,exhaustive
28,12,6,4,6,1,14 16 17 18 19 20 21 22 23 24 25 27,exhaustive
28,12,6,4,6,1,16 18 19 20 21 22 23 24 25 26 27 28,exhaustive
28,12,6,4,6,1,2 4 5 6 7 8 9 10 11 12 13 15,exhaustive
28,12,6,4,6,1,2 4 5 6 7 8 9 11 12 15 26 28,exhaustive
28,12,6,4,6,1,2 4 5 6 7 8 9 11 14 16 17 19,exhaustive
28,12,6,4,6,1,2 4 5 6 7 8 9 11 16 19 22 25,exhaustive
28,12,6,4,6,1,2 4 5 6 7 9 16 18 19 20 21 23,exhaustive
28,12,6,4,6,1,2 4 5 7 10 12 13 15 18 20 21 23,exhaustive
28,12,6,4,6,1,2 4 5 7 10 12 13 15 20 22 23 25,exhaustive
28,12,6,4,6,1,2 4 5 7 12 14 15 17 20 22 23 25,exhaustive
28,12,6,4,6,1,2 4 5 7 14 16 17 18 19 20 21 23,exhaustive
28,12,6,4,6,1,2 4 5 7 14 16 17 19 20 23 26 28,exhaustive
28,12,6,4,6,1,2 4 5 7 8 10 11 13 14 16 17 19,exhaustive
28,12,6,4,6,1,2 4 5 7 8 10 11 13 16 19 26 28,exhaustive
28,12,6,4,6,1,2 4 5 7 8 11 12 15 22 25 26 28,exhaustive
28,12,6,4,6,1,2 4 5 7 8 11 16 18 19 21 22 25,exhaustive
28,12,6,4,6,1,2 4 5 7 8 11 16 18 19 21 26 28,exhaustive
28,12,6,4,6,1,2 5 10 12 13 14 15 17 20 23 24 27,exhaustive
28,12,6,4,6,1,2 5 10 12 13 15 20 23 24 26 27 28,exhaustive
28,12,6,4,6,1,2 5 12 15 18 20 21 22 23 24 25 27,exhaustive
28,12,6,4,6,1,2 5 12 15 18 20 21 23 24 26 27 28,exhaustive
28,12,6,4,6,1,2 5 16 19 20 22 23 24 25 26 27 28,exhaustive
28,12,6,4,6,1,2 5 6 8 9 11 12 15 18 21 24 27,exhaustive
28,12,6,4,6,1,2 5 6 9 10 13 16 19 20 23 24 27,exhaustive
28,12,6,4,6,1,2 5 6 9 12 14 15 17 20 23 24 27,exhaustive
28,12,6,4,6,1,2 5 6 9 12 15 20 22 23 24 25 27,exhaustive
28,12,6,4,6,1,2 5 6 9 16 19 20 23 24 26 27 28,exhaustive
28,12,6,4,6,1,2 5 8 10 11 13 16 18 19 21 24 27,exhaustive
28,12,6,4,6,1,2 5 8 10 11 13 16 19 22 24 25 27,exhaustive
28,12,6,4,6,1,2 5 8 11 12 14 15 17 18 21 24 27,exhaustive
28,12,6,4,6,1,2 5 8 11 12 14 15 17 24 26 27 28,exhaustive
28,12,6,4,6,1,2 5 8 11 14 16 17 19 22 24 25 27,exhaustive
28,12,6,4,6,1,4 6 7 8 9 10 11 12 13 14 15 17,exhaustive
28,12,6,4,6,1,4 6 7 8 9 10 11 13 16 18 19 21,exhaustive
28,12,6,4,6,1,4 6 7 8 9 10 11 13 16 19 26 28,exhaustive
28,12,6,4,6,1,4 6 7 8 9 11 14 16 17 18 19 21,exhaustive
28,12,6,4,6,1,4 6 7 8 9 11 16 19 22 25 26 28,exhaustive
28,12,6,4,6,1,4 6 7 9 10 13 16 19 20 22 23 25,exhaustive
28,12,6,4,6,1,4 6 7 9 12 14 15 17 20 22 23 25,exhaustive
28,12,6,4,6,1,4 6 7 9 12 14 15 17 20 23 26 28,exhaustive
28,12,6,4,6,1,4 6 7 9 12 15 18 20 21 23 26 28,exhaustive
28,12,6,4,6,1,4 6 7 9 16 18 19 20 21 22 23 25,exhaustive
28,12,6,4,6,1,4 7 10 12 13 15 18 20 21 23 26 28,exhaustive
28,12,6,4,6,1,4 7 10 13 14 16 17 19 20 23 26 28,exhaustive
28,12,6,4,6,1,4 7 10 13 16 19 20 22 23 25 26 28,exhaustive
28,12,6,4,6,1,4 7 8 10 11 12 13 14 15 17 18 21,exhaustive
28,12,6,4,6,1,4 7 8 10 11 13 14 16 17 19 22 25,exhaustive
28,12,6,4,6,1,4 7 8 10 11 13 16 18 19 21 22 25,exhaustive
28,12,6,4,6,1,4 7 8 11 12 14 15 17 18 21 22 25,exhaustive
28,12,6,4,6,1,4 7 8 11 12 15 18 21 22 25 26 28,exhaustive
28,12,6,4,6,1,4 7 8 11 14 16 17 18 19 21 26 28,exhaustive
28,12,6,4,6,1,4 7 8 11 14 16 17 19 22 25 26 28,exhaustive
28,12,6,4,6,1,6 8 9 10 11 12 13 15 22 24 25 27,exhaustive
28,12,6,4,6,1,6 8 9 11 12 15 18 21 22 24 25 27,exhaustive
28,12,6,4,6,1,6 8 9 11 14 16 17 19 22 24 25 27,exhaustive
28,12,6,4,6,1,6 8 9 11 14 16 17 19 24 26 27 28,exhaustive
28,12,6,4,6,1,6 8 9 11 16 18 19 21 24 26 27 28,exhaustive
28,12,6,4,6,1,6 9 10 12 13 15 18 20 21 23 24 27,exhaustive
28,12,6,4,6,1,6 9 10 12 13 15 20 23 24 26 27 28,exhaustive
28,12,6,4,6,1,6 9 10 13 14 16 17 19 20 23 24 27,exhaustive
28,12,6,4,6,1,6 9 12 14 15 17 18 20 21 23 24 27,exhaustive
28,12,6,4,6,1,6 9 12 15 20 22 23 24 25 26 27 28,exhaustive
28,12,6,4,6,1,8 10 11 12 13 14 15 17 24 26 27 28,exhaustive
28,12,6,4,6,1,8 10 11 12 13 15 22 24 25 26 27 28,exhaustive
28,12,6,4,6,1,8 10 11 13 16 18 19 21 24 26 27 28,exhaustive
28,13,7,6,6,1,2 3 4 5 6 7 8 9 10 11 12 13 15,exhaustive
28,13,7,6,6,1,2 3 4 5 6 7 8 9 11 12 15 26 28,exhaustive
28,13,7,6,6,1,2 3 4 5 6 7 8 9 11 14 16 17 19,exhaustive
28,13,7,6,6,1,2 3 4 5 6 7 8 9 11 16 19 22 25,exhaustive
28,13,7,6,6,1,2 3 4 5 6 7 9 16 18 19 20 21 23,exhaustive
28,13,7,6,6,1,2 3 4 5 7 10 12 13 15 18 20 21 23,exhaustive
28,13,7,6,6,1,2 3 4 5 7 10 12 13 15 20 22 23 25,exhaustive
28,13,7,6,6,1,2 3 4 5 7 12 14 15 17 20 22 23 25,exhaustive
28,13,7,6,6,1,2 3 4 5 7 14 16 17 18 19 20 21 23,exhaustive
28,13,7,6,6,1,2 3 4 5 7 14 16 17 19 20 23 26 28,exhaustive
28,13,7,6,6,1,2 3 4 5 7 8 10 11 13 14 16 17 19,exhaustive
28,13,7,6,6,1,2 3 4 5 7 8 10 11 13 16 19 26 28,exhaustive
28,13,7,6,6,1,2 3 4 5 7 8 11 12 15 22 25 26 28,exhaustive
28,13,7,6,6,1,2 3 4 5 7 8 11 16 18 19 21 22 25,exhaustive
28,13,7,6,6,1,2 3 4 5 7 8 11 16 18 19 21 26 28,exhaustive
28,13,7,6,6,1,2 3 5 10 12 13 14 15 17 20 23 24 27,exhaustive
28,13,7,6,6,1,2 3 5 10 12 13 15 20 23 24 26 27 28,exhaustive
28,13,7,6,6,1,2 3 5 12 15 18 20 21 22 23 24 25 27,exhaustive
28,13,7,6,6,1,2 3 5 12 15 18 20 21 23 24 26 27 28,exhaustive
28,13,7,6,6,1,2 3 5 16 19 20 22 23 24 25 26 27 28,exhaustive
28,13,7,6,6,1,2 3 5 6 8 9 11 12 15 18 21 24 27,exhaustive
28,13,7,6,6,1,2 3 5 6 9 10 13 16 19 20 23 24 27,exhaustive
28,13,7,6,6,1,2 3 5 6 9 12 14 15 17 20 23 24 27,exhaustive
28,13,7,6,6,1,2 3 5 6 9 12 15 20 22 23 24 25 27,exhaustive
28,13,7,6,6,1,2 3 5 6 9 16 19 20 23 24 26 27 28,exhaustive
28,13,7,6,6,1,2 3 5 8 10 11 13 16 18 19 21 24 27,exhaustive
28,13,7,6,6,1,2 3 5 8 10 11 13 16 19 22 24 25 27,exhaustive
28,13,7,6,6,1,2 3 5 8 11 12 14 15 17 18 21 24 27,exhaustive
28,13,7,6,6,1,2 3 5 8 11 12 14 15 17 24 26 27 28,exhaustive
28,13,7,6,6,1,2 3 5 8 11 14 16 17 19 22 24 25 27,exhaustive
28,13,7,6,6,1,3 10 12 13 14 15 17 20 22 23 24 25 27,exhaustive
28,13,7,6,6,1,3 10 12 13 15 18 20 21 22 23 24 25 27,exhaustive
28,13,7,6,6,1,3 10 13 14 16 17 18 19 20 21 23 24 27,exhaustive
28,13,7,6,6,1,3 12 14 15 17 18 20 21 23 24 26 27 28,exhaustive
28,13,7,6,6,1,3 12 14 15 17 20 22 23 24 25 26 27 28,exhaustive
28,13,7,6,6,1,3 14 16 17 18 19 20 21 22 23 24 25 27,exhaustive
28,13,7,6,6,1,3 16 18 19 20 21 22 23 24 25 26 27 28,exhaustive
28,13,7,6,6,1,3 4 6 7 8 9 10 11 12 13 14 15 17,exhaustive
28,13,7,6,6,1,3 4 6 7 8 9 10 11 13 16 18 19 21,exhaustive
28,13,7,6,6,1,3 4 6 7 8 9 10 11 13 16 19 26 28,exhaustive
28,13,7,6,6,1,3 4 6 7 8 9 11 14 16 17 18 19 21,exhaustive
28,13,7,6,6,1,3 4 6 7 8 9 11 16 19 22 25 26 28,exhaustive
28,13,7,6,6,1,3 4 6 7 9 10 13 16 19 20 22 23 25,exhaustive
28,13,7,6,6,1,3 4 6 7 9 12 14 15 17 20 22 23 25,exhaustive
28,13,7,6,6,1,3 4 6 7 9 12 14 15 17 20 23 26 28,exhaustive
28,13,7,6,6,1,3 4 6 7 9 12 15 18 20 21 23 26 28,exhaustive
28,13,7,6,6,1,3 4 6 7 9 16 18 19 20 21 22 23 25,exhaustive
28,13,7,6,6,1,3 4 7 10 12 13 15 18 20 21 23 26 28,exhaustive
28,13,7,6,6,1,3 4 7 10 13 14 16 17 19 20 23 26 28,exhaustive
28,13,7,6,6,1,3 4 7 10 13 16 19 20 22 23 25 26 28,exhaustive
28,13,7,6,6,1,3 4 7 8 10 11 12 13 14 15 17 18 21,exhaustive
28,13,7,6,6,1,3 4 7 8 10 11 13 14 16 17 19 22 25,exhaustive
28,13,7,6,6,1,3 4 7 8 10 11 13 16 18 19 21 22 25,exhaustive
28,13,7,6,6,1,3 4 7 8 11 12 14 15 17 18 21 22 25,exhaustive
28,13,7,6,6,1,3 4 7 8 11 12 15 18 21 22 25 26 28,exhaustive
28,13,7,6,6,1,3 4 7 8 11 14 16 17 18 19 21 26 28,exhaustive
28,13,7,6,6,1,3 4 7 8 11 14 16 17 19 22 25 26 28,exhaustive
28,13,7,6,6,1,3 6 8 9 10 11 12 13 15 22 24 25 27,exhaustive
28,13,7,6,6,1,3 6 8 9 11 12 15 18 21 22 24 25 27,exhaustive
28,13,7,6,6,1,3 6 8 9 11 14 16 17 19 22 24 25 27,exhaustive
28,13,7,6,6,1,3 6 8 9 11 14 16 17 19 24 26 27 28,exhaustive
28,13,7,6,6,1,3 6 8 9 11 16 18 19 21 24 26 27 28,exhaustive
28,13,7,6,6,1,3 6 9 10 12 13 15 18 20 21 23 24 27,exhaustive
28,13,7,6,6,1,3 6 9 10 12 13 15 20 23 24 26 27 28,exhaustive
28,13,7,6,6,1,3 6 9 10 13 14 16 17 19 20 23 24 27,exhaustive
28,13,7,6,6,1,3 6 9 12 14 15 17 18 20 21 23 24 27,exhaustive
28,13,7,6,6,1,3 6 9 12 15 20 22 23 24 25 26 27 28,exhaustive
28,13,7,6,6,1,3 8 10 11 12 13 14 15 17 24 26 27 28,exhaustive
28,13,7,6,6,1,3 8 10 11 12 13 15 22 24 25 26 27 28,exhaustive
28,13,7,6,6,1,3 8 10 11 13 16 18 19 21 24 26 27 28,exhaustive
28,12,6,4,6,3,10 12 13 14 15 17 20 22 23 24 25 27,exhaustive
28,12,6,4,6,3,10 12 13 15 18 20 21 22 23 24 25 27,exhaustive
28,12,6,4,6,3,10 13 14 16 17 18 19 20 21 23 24 27,exhaustive
28,12,6,4,6,3,12 14 15 17 18 20 21 23 24 26 27 28,exhaustive
28,12,6,4,6,3,12 14 15 17 20 22 23 24 25 26 27 28,exhaustive
28,12,6,4,6,3,14 16 17 18 19 20 21 22 23 24 25 27,exhaustive
28,12,6,4,6,3,16 18 19 20 21 22 23 24 25 26 27 28,exhaustive
28,12,6,4,6,3,2 4 5 6 7 8 9 10 11 12 13 15,exhaustive
28,12,6,4,6,3,2 4 5 6 7 8 9 11 12 15 26 28,exhaustive
28,12,6,4,6,3,2 4 5 6 7 8 9 11 14 16 17 19,exhaustive
28,12,6,4,6,3,2 4 5 6 7 8 9 11 16 19 22 25,exhaustive
28,12,6,4,6,3,2 4 5 6 7 9 16 18 19 20 21 23,exhaustive
28,12,6,4,6,3,2 4 5 7 10 12 13 15 18 20 21 23,exhaustive
28,12,6,4,6,3,2 4 5 7 10 12 13 15 20 22 23 25,exhaustive
28,12,6,4,6,3,2 4 5 7 12 14 15 17 20 22 23 25,exhaustive
28,12,6,4,6,3,2 4 5 7 14 16 17 18 19 20 21 23,exhaustive
28,12,6,4,6,3,2 4 5 7 14 16 17 19 20 23 26 28,exhaustive
28,12,6,4,6,3,2 4 5 7 8 10 11 13 14 16 17 19,exhaustive
28,12,6,4,6,3,2 4 5 7 8 10 11 13 16 19 26 28,exhaustive
28,12,6,4,6,3,2 4 5 7 8 11 12 15 22 25 26 28,exhaustive
28,12,6,4,6,3,2 4 5 7 8 11 16 18 19 21 22 25,exhaustive
28,12,6,4,6,3,2 4 5 7 8 11 16 18 19 21 26 28,exhaustive
28,12,6,4,6,3,2 5 10 12 13 14 15 17 20 23 24 27,exhaustive
28,12,6,4,6,3,2 5 10 12 13 15 20 23 24 26 27 28,exhaustive
28,12,6,4,6,3,2 5 12 15 18 20 21 22 23 24 25 27,exhaustive
28,12,6,4,6,3,2 5 12 15 18 20 21 23 24 26 27 28,exhaustive
28,12,6,4,6,3,2 5 16 19 20 22 23 24 25 26 27 28,exhaustive
28,12,6,4,6,3,2 5 6 8 9 11 12 15 18 21 24 27,exhaustive
28,12,6,4,6,3,2 5 6 9 10 13 16 19 20 23 24 27,exhaustive
28,12,6,4,6,3,2 5 6 9 12 14 15 17 20 23 24 27,exhaustive
28,12,6,4,6,3,2 5 6 9 12 15 20 22 23 24 25 27,exhaustive
28,12,6,4,6,3,2 5 6 9 16 19 20 23 24 26 27 28,exhaustive
28,12,6,4,6,3,2 5 8 10 11 13 16 18 19 21 24 27,exhaustive
28,12,6,4,6,3,2 5 8 10 11 13 16 19 22 24 25 27,exhaustive
28,12,6,4,6,3,2 5 8 11 12 14 15 17 18 21 24 27,exhaustive
28,12,6,4,6,3,2 5 8 11 12 14 15 17 24 26 27 28,exhaustive
28,12,6,4,6,3,2 5 8 11 14 16 17 19 22 24 25 27,exhaustive
28,12,6,4,6,3,4 6 7 8 9 10 11 12 13 14 15 17,exhaustive
28,12,6,4,6,3,4 6 7 8 9 10 11 13 16 18 19 21,exhaustive
28,12,6,4,6,3,4 6 7 8 9 10 11 13 16 19 26 28,exhaustive
28,12,6,4,6,3,4 6 7 8 9 11 14 16 17 18 19 21,exhaustive
28,12,6,4,6,3,4 6 7 8 9 11 16 19 22 25 26 28,exhaustive
28,12,6,4,6,3,4 6 7 9 10 13 16 19 20 22 23 25,exhaustive
28,12,6,4,6,3,4 6 7 9 12 14 15 17 20 22 23 25,exhaustive
28,12,6,4,6,3,4 6 7 9 12 14 15 17 20 23 26 28,exhaustive
28,12,6,4,6,3,4 6 7 9 12 15 18 20 21 23 26 28,exhaustive
28,12,6,4,6,3,4 6 7 9 16 18 19 20 21 22 23 25,exhaustive
28,12,6,4,6,3,4 7 10 12 13 15 18 20 21 23 26 28,exhaustive
28,12,6,4,6,3,4 7 10 13 14 16 17 19 20 23 26 28,exhaustive
28,12,6,4,6,3,4 7 10 13 16 19 20 22 23 25 26 28,exhaustive
28,12,6,4,6,3,4 7 8 10 11 12 13 14 15 17 18 21,exhaustive
28,12,6,4,6,3,4 7 8 10 11 13 14 16 17 19 22 25,exhaustive
28,12,6,4,6,3,4 7 8 10 11 13 16 18 19 21 22 25,exhaustive
28,12,6,4,6,3,4 7 8 11 12 14 15 17 18 21 22 25,exhaustive
28,12,6,4,6,3,4 7 8 11 12 15 18 21 22 25 26 28,exhaustive
28,12,6,4,6,3,4 7 8 11 14 16 17 18 19 21 26 28,exhaustive
28,12,6,4,6,3,4 7 8 11 14 16 17 19 22 25 26 28,exhaustive
28,12,6,4,6,3,6 8 9 10 11 12 13 15 22 24 25 27,exhaustive
28,12,6,4,6,3,6 8 9 11 12 15 18 21 22 24 25 27,exhaustive
28,12,6,4,6,3,6 8 9 11 14 16 17 19 22 24 25 27,exhaustive
28,12,6,4,6,3,6 8 9 11 14 16 17 19 24 26 27 28,exhaustive
28,12,6,4,6,3,6 8 9 11 16 18 19 21 24 26 27 28,exhaustive
28,12,6,4,6,3,6 9 10 12 13 15 18 20 21 23 24 27,exhaustive
28,12,6,4,6,3,6 9 10 12 13 15 20 23 24 26 27 28,exhaustive
28,12,6,4,6,3,6 9 10 13 14 16 17 19 20 23 24 27,exhaustive
28,12,6,4,6,3,6 9 12 14 15 17 18 20 21 23 24 27,exhaustive
28,12,6,4,6,3,6 9 12 15 20 22 23 24 25 26 27 28,exhaustive
28,12,6,4,6,3,8 10 11 12 13 14 15 17 24 26 27 28,exhaustive
28,12,6,4,6,3,8 10 11 12 13 15 22 24 25 26 27 28,exhaustive
28,12,6,4,6,3,8 10 11 13 16 18 19 21 24 26 27 28,exhaustive
28,13,7,6,6,3,2 3 4 5 6 7 8 9 10 11 12 13 15,exhaustive
28,13,7,6,6,3,2 3 4 5 6 7 8 9 11 12 15 26 28,exhaustive
